V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
125,127,134,110,109,121,133,115,116,119,139,124,108,123,134,104,125,70,129,132
188,184,189,158,136,191,184,191,132,166,175,192,136,188,181,138,178,101,175,180
250,225,197,202,188,249,212,245,176,237,221,228,190,213,243,192,225,164,214,228
277,297,234,246,209,312,246,253,208,253,331,284,200,253,293,206,284,160,228,301
329,327,274,284,192,333,291,294,207,316,311,351,221,311,287,215,344,199,298,254
396,402,344,309,253,379,279,324,306,341,411,343,235,267,369,278,343,284,303,332
431,429,398,333,395,477,449,338,353,417,367,399,290,353,407,291,415,335,342,417
489,456,473,445,373,481,511,374,399,507,533,470,305,368,539,366,452,330,373,490
497,431,467,448,380,469,514,392,368,459,501,482,344,400,543,313,449,389,333,497
492,505,439,476,367,576,522,368,381,572,545,485,341,411,645,377,511,440,373,520
455,445,425,462,393,578,538,400,342,474,609,489,356,407,508,378,544,447,420,500
580,501,521,578,380,572,560,429,505,530,489,564,331,350,705,338,534,459,428,542
